Date,Time,Place
5/3/2022,7:00:00,Utan Kayu Selatan
5/3/2022,8:00:00,Sukmajaya
5/3/2022,9:00:00,Tugu
5/3/2022,10:00:00,Tugu
5/3/2022,11:00:00,Tugu
5/3/2022,12:00:00,Tugu
5/3/2022,13:00:00,Tugu
5/3/2022,14:00:00,Tugu
5/3/2022,15:00:00,Tugu
5/3/2022,16:00:00,Tugu
5/3/2022,17:00:00,Sukamjaya
5/3/2022,18:00:00,Utan Kayu Selatan
5/3/2022,19:00:00,Utan Kayu Selatan
5/3/2022,20:00:00,Utan Kayu Selatan
5/3/2022,21:00:00,Utan Kayu Selatan
5/3/2022,22:00:00,Utan Kayu Selatan
5/3/2022,23:00:00,Utan Kayu Selatan
6/3/2022,0:00:00,Utan Kayu Selatan
6/3/2022,1:00:00,Utan Kayu Selatan
6/3/2022,2:00:00,Utan Kayu Selatan
6/3/2022,3:00:00,Utan Kayu Selatan
6/3/2022,4:00:00,Utan Kayu Selatan
6/3/2022,5:00:00,Utan Kayu Selatan
6/3/2022,6:00:00,Utan Kayu Selatan
6/3/2022,7:00:00,Utan Kayu Selatan
6/3/2022,8:00:00,Sukmajaya
6/3/2022,9:00:00,Tugu
6/3/2022,10:00:00,Tugu
6/3/2022,11:00:00,Tugu
6/3/2022,12:00:00,Tugu
6/3/2022,13:00:00,Tugu
6/3/2022,14:00:00,Tugu
6/3/2022,15:00:00,Tugu
6/3/2022,16:00:00,Tugu
6/3/2022,17:00:00,Sukamjaya
6/3/2022,18:00:00,Utan Kayu Selatan
6/3/2022,19:00:00,Utan Kayu Selatan
6/3/2022,20:00:00,Utan Kayu Selatan
6/3/2022,21:00:00,Utan Kayu Selatan
6/3/2022,22:00:00,Utan Kayu Selatan
6/3/2022,23:00:00,Utan Kayu Selatan
7/3/2022,0:00:00,Utan Kayu Selatan
7/3/2022,1:00:00,Utan Kayu Selatan
7/3/2022,2:00:00,Utan Kayu Selatan
7/3/2022,3:00:00,Utan Kayu Selatan
7/3/2022,4:00:00,Utan Kayu Selatan
7/3/2022,5:00:00,Utan Kayu Selatan
7/3/2022,6:00:00,Utan Kayu Selatan
7/3/2022,7:00:00,Utan Kayu Selatan
7/3/2022,8:00:00,Pasar Minggu
7/3/2022,9:00:00,Tanjung Barat
7/3/2022,10:00:00,Tanjung Barat
7/3/2022,11:00:00,Tanjung Barat
7/3/2022,12:00:00,Tanjung Barat
7/3/2022,13:00:00,Tanjung Barat
7/3/2022,14:00:00,Tanjung Barat
7/3/2022,15:00:00,Tanjung Barat
7/3/2022,16:00:00,Tanjung Barat
7/3/2022,17:00:00,Pasar Minggu
7/3/2022,18:00:00,Utan Kayu Selatan
7/3/2022,19:00:00,Utan Kayu Selatan
7/3/2022,20:00:00,Utan Kayu Selatan
7/3/2022,21:00:00,Utan Kayu Selatan
7/3/2022,22:00:00,Utan Kayu Selatan
7/3/2022,23:00:00,Utan Kayu Selatan
8/3/2022,0:00:00,Utan Kayu Selatan
8/3/2022,1:00:00,Utan Kayu Selatan
8/3/2022,2:00:00,Utan Kayu Selatan
8/3/2022,3:00:00,Utan Kayu Selatan
8/3/2022,4:00:00,Utan Kayu Selatan
8/3/2022,5:00:00,Utan Kayu Selatan
8/3/2022,6:00:00,Utan Kayu Selatan
8/3/2022,7:00:00,Utan Kayu Selatan
8/3/2022,8:00:00,Pasar Minggu
8/3/2022,9:00:00,Tanjung Barat
8/3/2022,10:00:00,Tanjung Barat
8/3/2022,11:00:00,Tanjung Barat
8/3/2022,12:00:00,Tanjung Barat
8/3/2022,13:00:00,Tanjung Barat
8/3/2022,14:00:00,Tanjung Barat
8/3/2022,15:00:00,Tanjung Barat
8/3/2022,16:00:00,Tanjung Barat
8/3/2022,17:00:00,Pasar Minggu
8/3/2022,18:00:00,Utan Kayu Selatan
8/3/2022,19:00:00,Utan Kayu Selatan
8/3/2022,20:00:00,Utan Kayu Selatan
8/3/2022,21:00:00,Utan Kayu Selatan
8/3/2022,22:00:00,Utan Kayu Selatan
8/3/2022,23:00:00,Utan Kayu Selatan
9/3/2022,0:00:00,Utan Kayu Selatan
9/3/2022,1:00:00,Utan Kayu Selatan
9/3/2022,2:00:00,Utan Kayu Selatan
9/3/2022,3:00:00,Utan Kayu Selatan
9/3/2022,4:00:00,Utan Kayu Selatan
9/3/2022,5:00:00,Utan Kayu Selatan
9/3/2022,6:00:00,Utan Kayu Selatan
9/3/2022,7:00:00,Utan Kayu Selatan
9/3/2022,8:00:00,Pasar Minggu
9/3/2022,9:00:00,Tanjung Barat
9/3/2022,10:00:00,Tanjung Barat
9/3/2022,11:00:00,Tanjung Barat
9/3/2022,12:00:00,Tanjung Barat
9/3/2022,13:00:00,Tanjung Barat
9/3/2022,14:00:00,Tanjung Barat
9/3/2022,15:00:00,Tanjung Barat
9/3/2022,16:00:00,Tanjung Barat
9/3/2022,17:00:00,Pasar Minggu
9/3/2022,18:00:00,Utan Kayu Selatan
9/3/2022,19:00:00,Utan Kayu Selatan
9/3/2022,20:00:00,Utan Kayu Selatan
9/3/2022,21:00:00,Utan Kayu Selatan
9/3/2022,22:00:00,Utan Kayu Selatan
9/3/2022,23:00:00,Utan Kayu Selatan
10/3/2022,0:00:00,Utan Kayu Selatan
10/3/2022,1:00:00,Utan Kayu Selatan
10/3/2022,2:00:00,Utan Kayu Selatan
10/3/2022,3:00:00,Utan Kayu Selatan
10/3/2022,4:00:00,Utan Kayu Selatan
10/3/2022,5:00:00,Utan Kayu Selatan
10/3/2022,6:00:00,Utan Kayu Selatan
10/3/2022,7:00:00,Utan Kayu Selatan
10/3/2022,8:00:00,Pasar Minggu
10/3/2022,9:00:00,Tanjung Barat
10/3/2022,10:00:00,Tanjung Barat
10/3/2022,11:00:00,Tanjung Barat
10/3/2022,12:00:00,Tanjung Barat
10/3/2022,13:00:00,Tanjung Barat
10/3/2022,14:00:00,Tanjung Barat
10/3/2022,15:00:00,Tanjung Barat
10/3/2022,16:00:00,Tanjung Barat
10/3/2022,17:00:00,Pasar Minggu
10/3/2022,18:00:00,Utan Kayu Selatan
10/3/2022,19:00:00,Utan Kayu Selatan
10/3/2022,20:00:00,Utan Kayu Selatan
10/3/2022,21:00:00,Utan Kayu Selatan
10/3/2022,22:00:00,Utan Kayu Selatan
10/3/2022,23:00:00,Utan Kayu Selatan
11/3/2022,0:00:00,Utan Kayu Selatan
11/3/2022,1:00:00,Utan Kayu Selatan
11/3/2022,2:00:00,Utan Kayu Selatan
11/3/2022,3:00:00,Utan Kayu Selatan
11/3/2022,4:00:00,Utan Kayu Selatan
11/3/2022,5:00:00,Utan Kayu Selatan
11/3/2022,6:00:00,Utan Kayu Selatan
11/3/2022,7:00:00,Utan Kayu Selatan
11/3/2022,8:00:00,Pasar Minggu
11/3/2022,9:00:00,Tanjung Barat
11/3/2022,10:00:00,Tanjung Barat
11/3/2022,11:00:00,Tanjung Barat
11/3/2022,12:00:00,Tanjung Barat
11/3/2022,13:00:00,Tanjung Barat
11/3/2022,14:00:00,Tanjung Barat
11/3/2022,15:00:00,Tanjung Barat
11/3/2022,16:00:00,Tanjung Barat
11/3/2022,17:00:00,Pasar Minggu
11/3/2022,18:00:00,Utan Kayu Selatan
11/3/2022,19:00:00,Utan Kayu Selatan
11/3/2022,20:00:00,Utan Kayu Selatan
11/3/2022,21:00:00,Utan Kayu Selatan
11/3/2022,22:00:00,Utan Kayu Selatan
11/3/2022,23:00:00,Utan Kayu Selatan
12/3/2022,0:00:00,Utan Kayu Selatan
12/3/2022,1:00:00,Utan Kayu Selatan
12/3/2022,2:00:00,Utan Kayu Selatan
12/3/2022,3:00:00,Utan Kayu Selatan
12/3/2022,4:00:00,Utan Kayu Selatan
12/3/2022,5:00:00,Utan Kayu Selatan
12/3/2022,6:00:00,Utan Kayu Selatan
12/3/2022,7:00:00,Utan Kayu Selatan
12/3/2022,8:00:00,Sukmajaya
12/3/2022,9:00:00,Tugu
12/3/2022,10:00:00,Tugu
12/3/2022,11:00:00,Tugu
12/3/2022,12:00:00,Tugu
12/3/2022,13:00:00,Tugu
12/3/2022,14:00:00,Tugu
12/3/2022,15:00:00,Tugu
12/3/2022,16:00:00,Tugu
12/3/2022,17:00:00,Sukamjaya
12/3/2022,18:00:00,Utan Kayu Selatan
12/3/2022,19:00:00,Utan Kayu Selatan
12/3/2022,20:00:00,Utan Kayu Selatan
12/3/2022,21:00:00,Utan Kayu Selatan
12/3/2022,22:00:00,Utan Kayu Selatan
12/3/2022,23:00:00,Utan Kayu Selatan
13/3/2022,0:00:00,Utan Kayu Selatan
13/3/2022,1:00:00,Utan Kayu Selatan
13/3/2022,2:00:00,Utan Kayu Selatan
13/3/2022,3:00:00,Utan Kayu Selatan
13/3/2022,4:00:00,Utan Kayu Selatan
13/3/2022,5:00:00,Utan Kayu Selatan
13/3/2022,6:00:00,Utan Kayu Selatan
13/3/2022,7:00:00,Utan Kayu Selatan
13/3/2022,8:00:00,Sukmajaya
13/3/2022,9:00:00,Tugu
13/3/2022,10:00:00,Tugu
13/3/2022,11:00:00,Tugu
13/3/2022,12:00:00,Tugu
13/3/2022,13:00:00,Tugu
13/3/2022,14:00:00,Tugu
13/3/2022,15:00:00,Tugu
13/3/2022,16:00:00,Tugu
13/3/2022,17:00:00,Sukamjaya
13/3/2022,18:00:00,Utan Kayu Selatan
13/3/2022,19:00:00,Utan Kayu Selatan
13/3/2022,20:00:00,Utan Kayu Selatan
13/3/2022,21:00:00,Utan Kayu Selatan
13/3/2022,22:00:00,Utan Kayu Selatan
13/3/2022,23:00:00,Utan Kayu Selatan
14/3/2022,0:00:00,Utan Kayu Selatan
14/3/2022,1:00:00,Utan Kayu Selatan
14/3/2022,2:00:00,Utan Kayu Selatan
14/3/2022,3:00:00,Utan Kayu Selatan
14/3/2022,4:00:00,Utan Kayu Selatan
14/3/2022,5:00:00,Utan Kayu Selatan
14/3/2022,6:00:00,Utan Kayu Selatan
14/3/2022,7:00:00,Utan Kayu Selatan
14/3/2022,8:00:00,Pasar Minggu
14/3/2022,9:00:00,Tanjung Barat
14/3/2022,10:00:00,Tanjung Barat
14/3/2022,11:00:00,Tanjung Barat
14/3/2022,12:00:00,Tanjung Barat
14/3/2022,13:00:00,Tanjung Barat
14/3/2022,14:00:00,Tanjung Barat
14/3/2022,15:00:00,Tanjung Barat
14/3/2022,16:00:00,Tanjung Barat
14/3/2022,17:00:00,Pasar Minggu
14/3/2022,18:00:00,Utan Kayu Selatan
14/3/2022,19:00:00,Utan Kayu Selatan
14/3/2022,20:00:00,Utan Kayu Selatan
14/3/2022,21:00:00,Utan Kayu Selatan
14/3/2022,22:00:00,Utan Kayu Selatan
14/3/2022,23:00:00,Utan Kayu Selatan
15/3/2022,0:00:00,Utan Kayu Selatan
15/3/2022,1:00:00,Utan Kayu Selatan
15/3/2022,2:00:00,Utan Kayu Selatan
15/3/2022,3:00:00,Utan Kayu Selatan
15/3/2022,4:00:00,Utan Kayu Selatan
15/3/2022,5:00:00,Utan Kayu Selatan
15/3/2022,6:00:00,Utan Kayu Selatan
15/3/2022,7:00:00,Utan Kayu Selatan
15/3/2022,8:00:00,Pasar Minggu
15/3/2022,9:00:00,Tanjung Barat
15/3/2022,10:00:00,Tanjung Barat
15/3/2022,11:00:00,Tanjung Barat
15/3/2022,12:00:00,Tanjung Barat
15/3/2022,13:00:00,Tanjung Barat
15/3/2022,14:00:00,Tanjung Barat
15/3/2022,15:00:00,Tanjung Barat
15/3/2022,16:00:00,Tanjung Barat
15/3/2022,17:00:00,Pasar Minggu
15/3/2022,18:00:00,Utan Kayu Selatan
15/3/2022,19:00:00,Utan Kayu Selatan
15/3/2022,20:00:00,Utan Kayu Selatan
15/3/2022,21:00:00,Utan Kayu Selatan
15/3/2022,22:00:00,Utan Kayu Selatan
15/3/2022,23:00:00,Utan Kayu Selatan
16/3/2022,0:00:00,Utan Kayu Selatan
16/3/2022,1:00:00,Utan Kayu Selatan
16/3/2022,2:00:00,Utan Kayu Selatan
16/3/2022,3:00:00,Utan Kayu Selatan
16/3/2022,4:00:00,Utan Kayu Selatan
16/3/2022,5:00:00,Utan Kayu Selatan
16/3/2022,6:00:00,Utan Kayu Selatan
16/3/2022,7:00:00,Utan Kayu Selatan
16/3/2022,8:00:00,Pasar Minggu
16/3/2022,9:00:00,Tanjung Barat
16/3/2022,10:00:00,Tanjung Barat
16/3/2022,11:00:00,Tanjung Barat
16/3/2022,12:00:00,Tanjung Barat
16/3/2022,13:00:00,Tanjung Barat
16/3/2022,14:00:00,Tanjung Barat
16/3/2022,15:00:00,Tanjung Barat
16/3/2022,16:00:00,Tanjung Barat
16/3/2022,17:00:00,Pasar Minggu
16/3/2022,18:00:00,Utan Kayu Selatan
16/3/2022,19:00:00,Utan Kayu Selatan
16/3/2022,20:00:00,Utan Kayu Selatan
16/3/2022,21:00:00,Utan Kayu Selatan
16/3/2022,22:00:00,Utan Kayu Selatan
16/3/2022,23:00:00,Utan Kayu Selatan
17/3/2022,0:00:00,Utan Kayu Selatan
17/3/2022,1:00:00,Utan Kayu Selatan
17/3/2022,2:00:00,Utan Kayu Selatan
17/3/2022,3:00:00,Utan Kayu Selatan
17/3/2022,4:00:00,Utan Kayu Selatan
17/3/2022,5:00:00,Utan Kayu Selatan
17/3/2022,6:00:00,Utan Kayu Selatan
17/3/2022,7:00:00,Utan Kayu Selatan
17/3/2022,8:00:00,Pasar Minggu
17/3/2022,9:00:00,Tanjung Barat
17/3/2022,10:00:00,Tanjung Barat
17/3/2022,11:00:00,Tanjung Barat
17/3/2022,12:00:00,Tanjung Barat
17/3/2022,13:00:00,Tanjung Barat
17/3/2022,14:00:00,Tanjung Barat
17/3/2022,15:00:00,Tanjung Barat
17/3/2022,16:00:00,Tanjung Barat
17/3/2022,17:00:00,Pasar Minggu
17/3/2022,18:00:00,Utan Kayu Selatan
17/3/2022,19:00:00,Utan Kayu Selatan
17/3/2022,20:00:00,Utan Kayu Selatan
17/3/2022,21:00:00,Utan Kayu Selatan
17/3/2022,22:00:00,Utan Kayu Selatan
17/3/2022,23:00:00,Utan Kayu Selatan
18/3/2022,0:00:00,Utan Kayu Selatan
18/3/2022,1:00:00,Utan Kayu Selatan
18/3/2022,2:00:00,Utan Kayu Selatan
18/3/2022,3:00:00,Utan Kayu Selatan
18/3/2022,4:00:00,Utan Kayu Selatan
18/3/2022,5:00:00,Utan Kayu Selatan
18/3/2022,6:00:00,Utan Kayu Selatan
18/3/2022,7:00:00,Utan Kayu Selatan
18/3/2022,8:00:00,Pasar Minggu
18/3/2022,9:00:00,Tanjung Barat
18/3/2022,10:00:00,Tanjung Barat
18/3/2022,11:00:00,Tanjung Barat
18/3/2022,12:00:00,Tanjung Barat
18/3/2022,13:00:00,Tanjung Barat
18/3/2022,14:00:00,Tanjung Barat
18/3/2022,15:00:00,Tanjung Barat
18/3/2022,16:00:00,Tanjung Barat
18/3/2022,17:00:00,Pasar Minggu
18/3/2022,18:00:00,Utan Kayu Selatan
18/3/2022,19:00:00,Utan Kayu Selatan
18/3/2022,20:00:00,Utan Kayu Selatan
18/3/2022,21:00:00,Utan Kayu Selatan
18/3/2022,22:00:00,Utan Kayu Selatan
18/3/2022,23:00:00,Utan Kayu Selatan
19/3/2022,0:00:00,Utan Kayu Selatan
19/3/2022,1:00:00,Utan Kayu Selatan
19/3/2022,2:00:00,Utan Kayu Selatan
19/3/2022,3:00:00,Utan Kayu Selatan
19/3/2022,4:00:00,Utan Kayu Selatan
19/3/2022,5:00:00,Utan Kayu Selatan
19/3/2022,6:00:00,Utan Kayu Selatan
19/3/2022,7:00:00,Utan Kayu Selatan
19/3/2022,8:00:00,Sukmajaya
19/3/2022,9:00:00,Tugu
19/3/2022,10:00:00,Tugu
19/3/2022,11:00:00,Tugu
19/3/2022,12:00:00,Tugu
19/3/2022,13:00:00,Tugu
19/3/2022,14:00:00,Tugu
19/3/2022,15:00:00,Tugu
19/3/2022,16:00:00,Tugu
19/3/2022,17:00:00,Sukamjaya
19/3/2022,18:00:00,Utan Kayu Selatan
19/3/2022,19:00:00,Utan Kayu Selatan
19/3/2022,20:00:00,Utan Kayu Selatan
19/3/2022,21:00:00,Utan Kayu Selatan
19/3/2022,22:00:00,Utan Kayu Selatan
19/3/2022,23:00:00,Utan Kayu Selatan
20/3/2022,0:00:00,Utan Kayu Selatan
20/3/2022,1:00:00,Utan Kayu Selatan
20/3/2022,2:00:00,Utan Kayu Selatan
20/3/2022,3:00:00,Utan Kayu Selatan
20/3/2022,4:00:00,Utan Kayu Selatan
20/3/2022,5:00:00,Utan Kayu Selatan
20/3/2022,6:00:00,Utan Kayu Selatan
20/3/2022,7:00:00,Utan Kayu Selatan
20/3/2022,8:00:00,Sukmajaya
20/3/2022,9:00:00,Tugu
20/3/2022,10:00:00,Tugu
20/3/2022,11:00:00,Tugu
20/3/2022,12:00:00,Tugu
20/3/2022,13:00:00,Tugu
20/3/2022,14:00:00,Tugu
20/3/2022,15:00:00,Tugu
20/3/2022,16:00:00,Tugu
20/3/2022,17:00:00,Sukamjaya
20/3/2022,18:00:00,Utan Kayu Selatan
20/3/2022,19:00:00,Utan Kayu Selatan
20/3/2022,20:00:00,Utan Kayu Selatan
20/3/2022,21:00:00,Utan Kayu Selatan
20/3/2022,22:00:00,Utan Kayu Selatan
20/3/2022,23:00:00,Utan Kayu Selatan
