Negara,Gender,AHH,Tahun
Singapura,Perempuan,86,2021
Thailand,Laki-Laki,"70,7",2010
Thailand,Laki-Laki,"71,1",2011
Thailand,Laki-Laki,"71,4",2012
Thailand,Laki-Laki,"71,8",2013
Thailand,Laki-Laki,"72,1",2014
Thailand,Laki-Laki,"72,4",2015
Thailand,Laki-Laki,"72,7",2016
Thailand,Laki-Laki,73,2017
Thailand,Laki-Laki,"73,2",2018
Thailand,Laki-Laki,"73,5",2019
Thailand,Laki-Laki,"73,7",2020
Thailand,Laki-Laki,"73,9",2021
Thailand,Perempuan,"77,7",2010
Thailand,Perempuan,"78,2",2011
Thailand,Perempuan,"78,6",2012
Thailand,Perempuan,"79,1",2013
Thailand,Perempuan,"79,5",2014
Thailand,Perempuan,"79,9",2015
Thailand,Perempuan,"80,2",2016
Thailand,Perempuan,"80,5",2017
Thailand,Perempuan,"80,7",2018
Thailand,Perempuan,"80,9",2019
Thailand,Perempuan,"81,1",2020
Thailand,Perempuan,"81,2",2021
Filipina,Laki-Laki,66,2010
Filipina,Laki-Laki,"66,1",2011
Filipina,Laki-Laki,"66,2",2012
Filipina,Laki-Laki,"66,3",2013
Filipina,Laki-Laki,"66,5",2014
Filipina,Laki-Laki,"66,6",2015
Filipina,Laki-Laki,"66,8",2016
Filipina,Laki-Laki,67,2017
Filipina,Laki-Laki,"67,1",2018
Filipina,Laki-Laki,"67,3",2019
Filipina,Laki-Laki,"67,4",2020
Filipina,Laki-Laki,"67,5",2021
Filipina,Perempuan,74,2010
Filipina,Perempuan,"74,3",2011
Filipina,Perempuan,"74,5",2012
Filipina,Perempuan,"74,7",2013
Filipina,Perempuan,"74,9",2014
Filipina,Perempuan,75,2015
Filipina,Perempuan,"75,1",2016
Filipina,Perempuan,"75,3",2017
Filipina,Perempuan,"75,4",2018
Filipina,Perempuan,"75,5",2019
Filipina,Perempuan,"75,6",2020
Filipina,Perempuan,"75,7",2021
Brunei,Laki-Laki,"73,7",2010
Brunei,Laki-Laki,"73,7",2011
Brunei,Laki-Laki,"73,8",2012
Brunei,Laki-Laki,"73,9",2013
Brunei,Laki-Laki,74,2014
Brunei,Laki-Laki,"74,2",2015
Brunei,Laki-Laki,"74,3",2016
Brunei,Laki-Laki,"74,5",2017
Brunei,Laki-Laki,"74,6",2018
Brunei,Laki-Laki,"74,7",2019
Brunei,Laki-Laki,"74,9",2020
Brunei,Laki-Laki,75,2021
Brunei,Perempuan,"75,9",2010
Brunei,Perempuan,76,2011
Brunei,Perempuan,"76,2",2012
Brunei,Perempuan,"76,3",2013
Brunei,Perempuan,"76,4",2014
Brunei,Perempuan,"76,5",2015
Brunei,Perempuan,"76,7",2016
Brunei,Perempuan,"76,8",2017
Brunei,Perempuan,77,2018
Brunei,Perempuan,"77,1",2019
Brunei,Perempuan,"77,3",2020
Brunei,Perempuan,"77,4",2021
Vietnam,Laki-Laki,"70,7",2010
Vietnam,Laki-Laki,"70,8",2011
Vietnam,Laki-Laki,"70,8",2012
Vietnam,Laki-Laki,"70,9",2013
Vietnam,Laki-Laki,"70,9",2014
Vietnam,Laki-Laki,71,2015
Vietnam,Laki-Laki,71,2016
Vietnam,Laki-Laki,"71,1",2017
Vietnam,Laki-Laki,"71,2",2018
Vietnam,Laki-Laki,"71,3",2019
Vietnam,Laki-Laki,"71,4",2020
Vietnam,Laki-Laki,"71,5",2021
Vietnam,Perempuan,"78,9",2010
Vietnam,Perempuan,79,2011
Vietnam,Perempuan,79,2012
Vietnam,Perempuan,"79,1",2013
Vietnam,Perempuan,"79,2",2014
Vietnam,Perempuan,"79,2",2015
Vietnam,Perempuan,"79,3",2016
Vietnam,Perempuan,"79,4",2017
Vietnam,Perempuan,"79,4",2018
Vietnam,Perempuan,"79,5",2019
Vietnam,Perempuan,"79,6",2020
Vietnam,Perempuan,"79,7",2021
Laos,Laki-Laki,"62,5",2010
Laos,Laki-Laki,63,2011
Laos,Laki-Laki,"63,5",2012
Laos,Laki-Laki,"63,9",2013
Laos,Laki-Laki,"64,4",2014
Laos,Laki-Laki,"64,8",2015
Laos,Laki-Laki,"65,2",2016
Laos,Laki-Laki,"65,5",2017
Laos,Laki-Laki,"65,8",2018
Laos,Laki-Laki,"66,1",2019
Laos,Laki-Laki,"66,4",2020
Laos,Laki-Laki,"66,7",2021
Laos,Perempuan,"66,1",2010
Laos,Perempuan,"66,6",2011
Laos,Perempuan,"67,1",2012
Laos,Perempuan,"67,5",2013
Laos,Perempuan,"67,9",2014
Laos,Perempuan,"68,3",2015
Laos,Perempuan,"68,7",2016
Laos,Perempuan,"69,1",2017
Laos,Perempuan,"69,4",2018
Laos,Perempuan,"69,7",2019
Laos,Perempuan,"70,1",2020
Laos,Perempuan,"70,4",2021
Myanmar,Laki-Laki,"60,1",2010
Myanmar,Laki-Laki,"60,6",2011
Myanmar,Laki-Laki,"61,1",2012
Myanmar,Laki-Laki,"61,6",2013
Myanmar,Laki-Laki,"62,1",2014
Myanmar,Laki-Laki,"62,6",2015
Myanmar,Laki-Laki,63,2016
Myanmar,Laki-Laki,"63,4",2017
Myanmar,Laki-Laki,"63,8",2018
Myanmar,Laki-Laki,64,2019
Myanmar,Laki-Laki,"64,3",2020
Myanmar,Laki-Laki,"64,5",2021
Myanmar,Perempuan,"66,9",2010
Myanmar,Perempuan,"67,4",2011
Myanmar,Perempuan,"67,8",2012
Myanmar,Perempuan,"68,2",2013
Myanmar,Perempuan,"68,6",2014
Myanmar,Perempuan,69,2015
Myanmar,Perempuan,"69,3",2016
Myanmar,Perempuan,"69,6",2017
Myanmar,Perempuan,"69,9",2018
Myanmar,Perempuan,"70,1",2019
Myanmar,Perempuan,"70,3",2020
Myanmar,Perempuan,"70,5",2021
Kamboja,Laki-Laki,"64,3",2010
Kamboja,Laki-Laki,"64,8",2011
Kamboja,Laki-Laki,"65,3",2012
Kamboja,Laki-Laki,"65,7",2013
Kamboja,Laki-Laki,"66,1",2014
Kamboja,Laki-Laki,"66,5",2015
Kamboja,Laki-Laki,"66,8",2016
Kamboja,Laki-Laki,"67,1",2017
Kamboja,Laki-Laki,"67,3",2018
Kamboja,Laki-Laki,"67,5",2019
Kamboja,Laki-Laki,"67,7",2020
Kamboja,Laki-Laki,"67,9",2021
Kamboja,Perempuan,"68,6",2010
Kamboja,Perempuan,"69,1",2011
Kamboja,Perempuan,"69,5",2012
Kamboja,Perempuan,"69,9",2013
Kamboja,Perempuan,"70,2",2014
Kamboja,Perempuan,"70,6",2015
Kamboja,Perempuan,71,2016
Kamboja,Perempuan,"71,3",2017
Kamboja,Perempuan,"71,6",2018
Kamboja,Perempuan,"71,9",2019
Kamboja,Perempuan,"72,2",2020
Kamboja,Perempuan,"72,4",2021
